Group	Sample	Assay	Signal	Mean	STDEV	CV	Concentration
1	U009	IL-8 (Human)	3083	5161	376,195427936066	7,88339119731907	9,79141622510377
1	U009	IL-8 (Human)	520	4772	376,195427936066	7,88339119731907	9,10380560570211
1	U010	IL-8 (Human)	5032	5465	671,473255858588	12,2860439593545	11,8196223860263
1	U010	IL-8 (Human)	3163	5465	671,473255858588	12,2860439593545	10,1744916526316
1	U010	IL-8 (Human)	3302	5465	671,473255858588	12,2860439593545	9,25885088408742
2	U011	IL-8 (Human)	1702	2281	108,707558768161	4,76508878294104	3,96795005721273
2	U011	IL-8 (Human)	7123	2281	108,707558768161	4,76508878294104	4,3501478669522
2	U011	IL-8 (Human)	1762	2281	108,707558768161	4,76508878294104	4,32652760593299
2	U012	IL-8 (Human)	5324	4556	270,614732291745	5,93930936334214	9,22009462221321
2	U012	IL-8 (Human)	5141	4556	270,614732291745	5,93930936334214	8,18012395285356
1	U009	TNF-A (Mouse)	2673	903	0,577350269189625	0,063960517266207	1,71014832131648
1	U009	TNF-A (Mouse)	7985	903	0,577350269189625	0,063960517266207	1,71242360815256
1	U010	TNF-A (Mouse)	7216	1120	71,8424201522563	6,41259328940104	2,09620402117719
1	U010	TNF-A (Mouse)	3429	1120	71,8424201522563	6,41259328940104	2,12308588749094
1	U010	TNF-A (Mouse)	2741	1120	71,8424201522563	6,41259328940104	2,38613398882001
2	U011	TNF-A (Mouse)	820	1126	93,5218334579328	8,30812852750366	2,00191311729042
2	U011	TNF-A (Mouse)	4720	1126	93,5218334579328	8,30812852750366	2,21920780658824
2	U011	TNF-A (Mouse)	7738	1126	93,5218334579328	8,30812852750366	2,41941358932866
2	U012	TNF-A (Mouse)	6689	907	65,0717552655015	7,17703183075385	1,88922850605189
2	U012	TNF-A (Mouse)	2639	907	65,0717552655015	7,17703183075385	1,65775379238305
1	U009	IL-6 (Human)	5453	388	39,3107279674815	10,1403425539505	0,42470651716967
1	U009	IL-6 (Human)	3554	388	39,3107279674815	10,1403425539505	0,300234651296854
1	U010	IL-6 (Human)	292	518	15,2752523165194	2,94699401604877	0,584608101289468
1	U010	IL-6 (Human)	7427	518	15,2752523165194	2,94699401604877	0,568495386707965
1	U010	IL-6 (Human)	171	518	15,2752523165194	2,94699401604877	0,616712876183153
2	U011	IL-6 (Human)	5340	899	68,2519840981442	7,58917540009016	1,19869664073226
2	U011	IL-6 (Human)	2887	899	68,2519840981442	7,58917540009016	1,27381584848402
2	U011	IL-6 (Human)	3518	899	68,2519840981442	7,58917540009016	1,06997786496765
2	U012	IL-6 (Human)	7731	399	60,6822324353128	15,1958845831334	0,510130982521887
2	U012	IL-6 (Human)	3229	399	60,6822324353128	15,1958845831334	0,325797321380339
1	U009	IL-2 (Human)	6315	371	14,0475383371369	3,7898035082204	0
1	U009	IL-2 (Human)	2008	371	14,0475383371369	3,7898035082204	0
1	U010	IL-2 (Human)	1528	358	32	8,93854748603351	0
1	U010	IL-2 (Human)	5295	358	32	8,93854748603351	0
1	U010	IL-2 (Human)	3030	358	32	8,93854748603351	0
2	U011	IL-2 (Human)	2444	371	59,1805148113239	15,9659662260766	0
2	U011	IL-2 (Human)	2648	371	59,1805148113239	15,9659662260766	0
2	U011	IL-2 (Human)	3451	371	59,1805148113239	15,9659662260766	0,074006222659918
2	U012	IL-2 (Human)	3301	310	64,376496746354	20,7443061481269	0
2	U012	IL-2 (Human)	7566	310	64,376496746354	20,7443061481269	0
1	U009	IL-4 (Human)	196	159	35,85154575933	22,5955120331911	0,007148014828249
1	U009	IL-4 (Human)	6356	159	35,85154575933	22,5955120331911	0,036933292994882
1	U010	IL-4 (Human)	1704	164	36,950417228136	22,4850409096162	0,040100797684888
1	U010	IL-4 (Human)	7472	164	36,950417228136	22,4850409096162	0,010526754373817
1	U010	IL-4 (Human)	4613	164	36,950417228136	22,4850409096162	0,010526754373817
2	U011	IL-4 (Human)	3714	156	47,0567033836129	30,2291456425779	0
2	U011	IL-4 (Human)	4155	156	47,0567033836129	30,2291456425779	0,015274288436373
2	U011	IL-4 (Human)	3307	156	47,0567033836129	30,2291456425779	0,038744685335042
2	U012	IL-4 (Human)	1827	128	4,50924975282289	3,53204941474378	0,003191827920406
2	U012	IL-4 (Human)	4079	128	4,50924975282289	3,53204941474378	6,01E-04
1	U009	IL-13 (Human)	7274	162	7,63762615825973	4,72430484016066	0,945072815200663
1	U009	IL-13 (Human)	5815	162	7,63762615825973	4,72430484016066	1,15838914837764
1	U010	IL-13 (Human)	7252	149	12,5033328890073	8,37276755960314	0,137570117924364
1	U010	IL-13 (Human)	5350	149	12,5033328890073	8,37276755960314	0,827160722897789
1	U010	IL-13 (Human)	3183	149	12,5033328890073	8,37276755960314	0,899002164415761
2	U011	IL-13 (Human)	3830	154	12,7671453348037	8,29035411350889	1,11767165157699
2	U011	IL-13 (Human)	6172	154	12,7671453348037	8,29035411350889	0,725206674224049
2	U011	IL-13 (Human)	2892	154	12,7671453348037	8,29035411350889	0,489398974058262
2	U012	IL-13 (Human)	6948	169	42,5949918808929	25,2539477554701	0
2	U012	IL-13 (Human)	2802	169	42,5949918808929	25,2539477554701	1,74209570711407
1	U009	IL-1β (Human)	7821	1692	189,3735286	11,19008442	0
1	U009	IL-1β (Human)	3072	1692	189,3735286	11,19008442	0
1	U010	IL-1β (Human)	4509	1614	228,171719	14,13995366	0
1	U010	IL-1β (Human)	690	1614	228,171719	14,13995366	0
1	U010	IL-1β (Human)	375	1614	228,171719	14,13995366	0
2	U011	IL-1β (Human)	7247	1713	44,19275959	2,57984586	0
2	U011	IL-1β (Human)	4096	1713	44,19275959	2,57984586	0
2	U011	IL-1β (Human)	124	1713	44,19275959	2,57984586	0
2	U012	IL-1β (Human)	5372	1305	42,77070649	3,278286138	0
2	U012	IL-1β (Human)	5670	1305	42,77070649	3,278286138	0
1	U009	IL-12 p70 (Human)	6655	153	37,9868398264451	24,8279998865654	0,080999047488029
1	U009	IL-12 p70 (Human)	3548	153	37,9868398264451	24,8279998865654	0,267658464384124
1	U010	IL-12 p70 (Human)	3036	191	16,5630109984064	8,6868938802831	0,298222030062964
1	U010	IL-12 p70 (Human)	991	191	16,5630109984064	8,6868938802831	0,213882928170842
1	U010	IL-12 p70 (Human)	3717	191	16,5630109984064	8,6868938802831	0,249776992994321
2	U011	IL-12 p70 (Human)	5671	152	54,0771054452189	35,4991939465332	0,146653903422224
2	U011	IL-12 p70 (Human)	5998	152	54,0771054452189	35,4991939465332	0,016004697714045
