"from","to"
"RB1","CDK2"
"CDK2","CDKN1B"
"RB1","CDK4"
"PDPK1","RPS6KB1"
"PDPK1","PKN2"
"CDKN1B","CDK4"
"FOS","ATF2"
"CDK2","CDK1"
"CDK2","TP53"
"MAP2K6","MAP2K3"
"TP53","PRKDC"
"LCK","STAT3"
"TP53","BCL2"
"PDPK1","PKN1"
"RB1","CDK1"
"PDPK1","SRC"
"TP53","NPM1"
"STAT3","SRC"
"LCK","NFKBIA"
"SRC","NFKBIA"
"FOS","STAT3"
"SRC","IGF1R"
"RB1","ABL1"
"RPS6KA5","EIF4EBP1"
"RB1","ATF2"
"SRC","ABL1"
"RB1","TP53"
"SRC","BMX"
"RPS6KB1","IGF1R"
"CDKN1B","ABL1"
"MAP2K6","PKN1"
"MAP2K3","PKN1"
"SRC","MAP2K1"
"LCK","MAP2K1"
"CDK1","MAP2K1"
"CDK4","CDK1"
"STAT3","BCL2"
"PDPK1","LCK"
"CDK2","ABL1"
"RB1","CDKN1B"
"CDK2","CDK4"
"SRC","CAMK2B"
"CDK4","ABL1"
"CDK1","SRC"
"CDK1","PKN1"
"CAMK2B","MAPT"
"CDKN1B","TP53"
"PDPK1","NFKBIA"
"PKN2","PKN1"
"CDKN1B","CDK1"
"MAP2K6","ABL1"
"MAP2K6","CAMK2B"
"MAP2K3","SRC"
"LCK","ABL1"
"TP53","CSNK1G2"
"STAT3","MAP2K1"
"CAMK2B","CAMK4"
"LCK","BMX"
"CDKN1B","PDPK1"
"ATF2","TP53"
"MAP2K3","CAMK2B"
"TP53","STAT3"
"FOS","TP53"
"LCK","SRC"
"FOS","HMOX2"
"RPS6KB1","EIF4EBP1"
"RPS6KB1","FOS"
"MAP2K6","PPM1A"
"MAP2K3","PPM1A"
"FOS","SRC"
"ATF2","RPS6KA5"
"STAT3","BMX"
"TP53","HSPB1"
