name selected shared.name Treated uniprot WT foldChange
BMX false BMX 0.30549291 P51813 0.95441563 -1.64347877174398
CRYAB false CRYAB 0.23439792 P02511 0.29831466 -0.347875109772303
PAK2 false PAK2 0.27204667 Q13177 0.72582223 -1.4157620742674
BCL2 false BCL2 0.14671569 P10415 0.15366848 -0.0667981109873948
PRKDC false PRKDC 0.89930876 P78527 0.2939838 1.61307986436545
ERBB2 false ERBB2 1.03705711 P04626 0.82142971 0.336286310833341
MAPKAPK2 false MAPKAPK2 0.82034109 P49137 0.55935833 0.552451110609803
ABL1 false ABL1 1.35205392 P00519 0.36167502 1.9023868243759
TP53 false TP53 0.73667097 P04637 0.4821344 0.611585022615826
NFKBIA false NFKBIA 1.33556388 P25963 0.15935655 3.06711875745591
