name,stat,exp,uniprotid
RB1,up,3.64,P06400
CDK2,down,-1.82,P24941
CDKN1B,up,4.24,P46527
CDK4,down,-2.42,P11802
PDPK1,up,3.03,O15530
RPS6KB1,up,1.21,P23443
PKN2,down,-1.21,Q16513
FOS,up,2.42,P01100
ATF2,mixed,0.00,P15336
CDK1,down,-2.42,P06493
TP53,up,3.03,P04637
MAP2K6,down,-2.42,P52564
MAP2K3,up,0.61,P46734
PRKDC,up,0.61,P78527
LCK,up,1.21,P06239
STAT3,down,-2.42,P40763
BCL2,down,-4.24,P10415
PKN1,up,1.21,Q16512
SRC,up,1.21,P12931
NPM1,down,-3.03,P06748
NFKBIA,up,0.61,P25963
IGF1R,down,-3.03,P08069
ABL1,up,3.64,P00519
RPS6KA5,down,-0.61,O75582
EIF4EBP1,down,-4.24,Q13541
BMX,up,4.24,P51813
MAP2K1,down,-3.64,Q02750
CAMK2B,up,3.03,Q13554
MAPT,down,-2.42,P10636
CSNK1G2,down,-4.24,P78368
CAMK4,down,-1.21,Q16566
HMOX2,up,3.64,P30519
PPM1A,down,-2.42,P35813
HSPB1,down,-1.82,P04792
